Security Code,Issuer Name,Symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation
500002,ABB India Limited,ABB,ABB India Limited,Active,A,2,INE117A01022,Heavy Electrical Equipment,151015.44
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A,1,INE208C01025,Trading - Gas,28204.61
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A,1,INE885A01032,Auto Components & Equipments,24161.18
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X,10,INE432A01017,Pharmaceuticals,433.13
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X,10,INE714B01016,Commodity Chemicals,710.36
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,Z,5,INE436A01026,Residential- Commercial Projects,173.46
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X,10,INE096A01010,Precious Metals,39.14
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X,10,INE957C01019,Hotels & Resorts,37.09
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A,2,INE032A01023,Other Textile Products,4769.92
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B,10,INE363A01022,Hotels & Resorts,367.47
500027,Atul Limited.,ATUL,ATUL LTD.,Active,A,10,INE100A01010,Specialty Chemicals,23093.82
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,X,10,INE447A01015,Industrial Products,180.6
500031,Bajaj Electricals Ltd.,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A,2,INE193E01025,Household Appliances,9980.71
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A,1,INE306A01021,Sugar,4335.36
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A,10,INE451A01017,Passenger Cars & Utility Vehicles,9605.38
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A,2,INE296A01024,Non Banking Financial Company (NBFC),427107.46
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A,1,INE119A01028,Sugar,12453.58
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B,2,INE213C01025,Auto Components & Equipments,5249.83
500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,Active,A,10,INE055A01016,Paper & Paper Products,31010.63
500041,Bannari Amman Sugars Ltd.,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B,10,INE459A01010,Sugar,4413.6
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A,10,INE373A01013,Specialty Chemicals,36101.96
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A,5,INE176A01028,Footwear,17428.33
500048,BEML Ltd,BEML,BEML LTD.,Active,A,10,INE258A01016,Construction Vehicles,16801.06
500049,Bharat Electronics Ltd.,BEL,BHARAT ELECTRONICS LTD.,Active,A,1,INE263A01024,Aerospace & Defense,209169.32
500052,Bhansali Engineering Polymers Ltd.,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B,1,INE922A01025,Specialty Chemicals,3313.55
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,X,10,INE819C01011,Sponge Iron,154.25
500059,Binani Industries Limited,BINANIIND,BINANI INDUSTRIES LTD.,Active,T,10,INE071A01013,Holding Company,51.72
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B,10,INE800A01015,Telecom - Equipment & Accessories,669.3
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A,2,INE472A01039,Household Appliances,38079.86
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,B,10,INE131C01011,Industrial Products,2719.36
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X,10,INE418C01012,Other Capital Market related Services,498.9
500074,BPL Ltd.,BPL,BPL LTD.,Active,B,10,INE110A01019,Consumer Electronics,546.08
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B,5,INE959C01023,Specialty Chemicals,2086.69
500083,Century Extrusions Ltd.,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,T,1,INE281A01026,Aluminium- Copper & Zinc Products,192
500084,CESC Limited,CESC,CESC LTD.,Active,A,1,INE486A01021,Integrated Power Utilities,24171.78
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A,10,INE085A01013,Fertilizers,19377.55
500086,Exide Industries Ltd.,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A,1,INE302A01020,Auto Components & Equipments,37710.25
500087,Cipla Ltd.,CIPLA,CIPLA LTD.,Active,A,2,INE059A01026,Pharmaceuticals,129619.07
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,T,10,INE303A01010,Printing Inks,683.83
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A,1,INE007A01025,Other Financial Services,38905.34
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A,2,INE067A01029,Heavy Electrical Equipment,107674.34
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A,1,INE016A01026,Personal Care,94925
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B,2,INE495A01022,Sugar,3763.68
500101,Arvind Ltd.,ARVIND,ARVIND LTD.,Active,A,10,INE034A01011,Garments & Apparels,9626.45
500103,Bharat Heavy Electricals Ltd.,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A,2,INE257A01026,Heavy Electrical Equipment,81967.77
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A,10,INE094A01015,Refineries & Marketing,79793.34
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A,10,INE039A01010,Financial Institution,15002.01
500108,Mahanagar Telephone Nigam Ltd.,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A,10,INE153A01019,Telecom - Cellular & Fixed line services,3030.3
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A,10,INE103A01014,Refineries & Marketing,28751.38
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A,10,INE178A01016,Refineries & Marketing,9417.9
500112,State Bank Of India,SBIN,STATE BANK OF INDIA,Active,A,1,INE062A01020,Public Sector Bank,757878.73
500113,Steel Authority of India Ltd.,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A,10,INE114A01011,Iron & Steel,48962.24
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A,1,INE280A01028,Gems- Jewellery And Watches,287025.7
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A,10,INE008A01015,Private Sector Bank,89083.65
500117,DCW Ltd.,DCW,DCW LTD.,Active,A,2,INE500A01029,Petrochemicals,3103.56
