"Symbol","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE
 (₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"ABSLBANETF","Nifty Bank","52.00","53.60","50.68","50.98","53.45","-","2.47","4.85","1,66,140","0.85","50.86","55.51","40.82",-2.41,"16-Nov-2023","15.11","16-Oct-2024"
"CONSUMIETF","Nifty India Consumption Index","113.97","117.54","113.44","113.54","117.54","-","4.00","3.52","19,712","0.22","113.45","154.00","87.35",-9.98,"-","-","16-Oct-2024"
"INFRAIETF","ICICI Prudential Nifty Infrastructure ETF","86.62","88.86","86.03","86.62","88.85","-","2.23","2.57","99,315","0.86","86.25","100.10","64.70",-8.42,"-","-","16-Oct-2024"
"NAVINIFTY","Navi Nifty 50 ETF","271.34","278.13","263.10","271.34","278.13","-","6.79","2.50","842","0.02","238.46","334.00","196.07",-8.94,"16-Nov-2023","39.73","16-Oct-2024"
"AXISCETF","NIFTY India Consumption Index","114.38","115.80","112.09","112.99","115.80","-","2.81","2.49","1,734","0.02","113.01","140.00","83.01",-10.15,"16-Nov-2023","28.19","16-Oct-2024"
"MAFANG","NYSE FANG+ Total Return Index","109.01","114.45","107.48","108.78","111.40","-","2.62","2.41","10,96,009","12.25","104.47","119.00","65.40",15.27,"16-Nov-2023","66.08","16-Oct-2024"
"MIDCAP","Nifty Midcap 50 Index","153.49","156.90","152.57","153.49","156.90","-","3.41","2.22","68,480","1.05","151.89","173.65","117.55",-9.04,"-","-","16-Oct-2024"
"TOP10ADD","Nifty Top 10 Equal Weight Index","92.51","96.30","92.10","92.25","94.18","-","1.93","2.09","97,793","0.90","92.12","119.70","92.02",-3.21,"-","-","16-Oct-2024"
"HDFCNIF100","HDFC NIFTY 100 ETF","25.10","25.60","24.80","25.11","25.60","-","0.49","1.95","1,10,900","0.28","24.81","29.10","19.70",-6.6,"16-Nov-2023","24.25","16-Oct-2024"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","58.85","61.00","58.00","60.02","60.99","-","0.97","1.62","1,07,968","0.65","59.79","72.00","58.00","-","-","-","-"
"CONSUMBEES","Nifty India Consumption TRI","122.94","125.98","122.10","122.73","124.71","-","1.98","1.61","1,23,000","1.51","122.16","148.05","94.20",-10.14,"16-Nov-2023","28.78","16-Oct-2024"
"TNIDETF","Nifty India Digital Index","92.71","94.90","92.71","93.52","94.90","-","1.38","1.48","2,67,770","2.53","93.47","101.75","67.00",-3.32,"16-Nov-2023","36.21","16-Oct-2024"
"UTINEXT50","Nifty Next 50","71.28","72.51","71.27","71.27","72.32","-","1.05","1.47","89,272","0.64","71.26","83.00","48.66",-10.57,"16-Nov-2023","45.66","16-Oct-2024"
"MIDSELIETF","S&P BSE Midcap Select Index","17.34","17.50","17.01","17.02","17.26","-","0.24","1.41","2,05,976","0.35","17.00","20.00","13.22",-8.59,"-","-","16-Oct-2024"
"MIDSMALL","Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF","49.60","50.25","49.50","49.59","50.25","-","0.66","1.33","12,60,921","6.26","49.40","57.00","45.50",-9.79,"-","-","16-Oct-2024"
"NETF","Tata Nifty 50 Exchange Traded Fund","253.98","254.99","251.02","251.67","254.99","-","3.32","1.32","5,073","0.13","251.57","282.96","205.20",-5.45,"16-Nov-2023","21.55","16-Oct-2024"
"NV20BEES","Nifty50 Value20 TRI","157.69","160.00","154.50","155.73","157.75","-","2.02","1.30","5,46,512","8.48","155.23","175.00","115.20",-4.34,"16-Nov-2023","29.82","16-Oct-2024"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF","98.24","98.24","96.03","96.75","97.98","-","1.23","1.27","73,828","0.71","96.48","114.10","67.11",-10.09,"16-Nov-2023","41.29","16-Oct-2024"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","16.84","16.99","16.61","16.64","16.85","-","0.21","1.26","5,20,505","0.88","16.68","19.30","13.00",-8.62,"-","-","16-Oct-2024"
"ABSLNN50ET","Nifty Next 50","70.20","70.49","69.51","69.35","70.20","-","0.85","1.23","21,192","0.15","69.54","81.70","47.56",-10.72,"16-Nov-2023","45.65","16-Oct-2024"
"LOWVOLIETF","Nifty 100 Low Volatility 30 Index","21.29","21.29","20.72","20.87","21.12","-","0.25","1.20","15,49,996","3.22","20.79","24.40","17.41",-7.76,"-","-","16-Oct-2024"
"PSUBANKADD","DSP Nifty PSU Bank ETF","66.36","66.41","65.00","65.55","66.33","-","0.78","1.19","7,229","0.05","65.46","82.90","49.55",-1.81,"-","-","16-Oct-2024"
"GROWWEV","Nifty EV and New Age Automotive Index","30.56","30.86","29.75","29.96","30.31","-","0.35","1.17","3,96,859","1.19","29.76","36.06","29.75",-12.11,"-","-","16-Oct-2024"
"GSEC10IETF","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF","241.50","241.50","238.00","238.02","240.75","-","2.73","1.15","13,256","0.32","239.96","249.70","219.35",0.31,"-","-","16-Oct-2024"
"MOREALTY","Motilal Oswal Nifty Realty ETF","95.46","95.46","94.07","93.95","95.00","-","1.05","1.12","59,414","0.56","93.71","115.79","85.30",-12.34,"-","-","16-Oct-2024"
"HDFCSENSEX","SENSEX","87.48","87.89","86.16","86.95","87.89","-","0.94","1.08","33,495","0.29","86.48","100.00","71.81",-4.6,"16-Nov-2023","-88.07","16-Oct-2024"
"MODEFENCE","Nifty India Defence Total Return Index","66.76","67.00","65.10","65.66","66.34","-","0.68","1.04","2,04,849","1.35","65.48","80.00","65.10",-10.69,"-","-","16-Oct-2024"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","78.75","82.09","78.75","81.19","82.00","-","0.81","1.00","40,229","0.33","81.22","99.00","58.55",-6.69,"16-Nov-2023","33.61","16-Oct-2024"
"LOWVOL1","Kotak Nifty 100 Low Vol 30 ETF","20.00","20.01","19.21","19.79","19.98","-","0.19","0.96","2,11,885","0.42","19.69","23.41","15.35",-6.9,"-","-","16-Oct-2024"
"SETFNN50","Nifty Next 50","713.39","717.74","705.50","710.08","716.80","-","6.72","0.95","58,912","4.20","708.18","825.60","483.87",-10.64,"16-Nov-2023","45.64","16-Oct-2024"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","66.38","66.99","65.50","66.38","66.99","-","0.61","0.92","1,31,400","0.87","65.97","86.70","49.75",-1.69,"-","-","16-Oct-2024"
"BSE500IETF","S&P BSE 500 index","37.12","37.35","36.90","36.96","37.30","-","0.34","0.92","45,45,162","16.85","36.86","47.60","29.05",-6.93,"-","-","16-Oct-2024"
